event_id,title,acts,scene,date,time,lat,lng,place_name,address,description,symbols,reflection,photos,videos
EV-2026-02-07-01,Comisario Pantera y Pastilla en el Anexo,Pastilla|Comisario Pantera,indie|alternativa,07/02/26,22:30,31.74289605,-106.4839858,Anexo Centenario,C. Ignacio Mejía Centro 32000 Juárez Chih.,Entrada sin contratiempos; el sonido se sentía fuerte cerca de la barra.,alternativo|multitud|seguro|tolerancia_volumen|tolerancia_alcohol|caro|memoria|tolerancia_expresion|cuerpo_calor|cuerpo_hacinamiento,El evento estuvo bien Perro,https://drive.google.com/file/d/1R6XaOu1CJFZqX0RzmQfW-v-Rmp0NhG1E/view?usp=sharing|https://drive.google.com/file/d/1rld5Sxnr_pFLogEivWUH8WoY2JI74418/view?usp=sharing|https://drive.google.com/file/d/1YKb9sO6NiWXnaMRTwbp-SfRHj5BLrCfj/view?usp=sharing|https://drive.google.com/file/d/19k26ZllfebIi01K-X0MxHx6ve_0p2w4A/view?usp=sharing|https://drive.google.com/file/d/10mBIPUFJm984Z8zjaIMnkrMPjFgln8xT/view?usp=sharing|https://drive.google.com/file/d/14Qx_G9OwoVMqHtxQtmT2Y0H_TFiJmqrx/view?usp=sharing|https://drive.google.com/file/d/1VDWIravyWJyAwec6gD-ymLTCfVKifdRM/view?usp=sharing|https://drive.google.com/file/d/1VhvL_JZw_zv345mQByBVHB7f8gfFlwEe/view?usp=sharing|https://drive.google.com/file/d/1HVUIaoXyrx184YKnuRNGLGRYc9hHsARh/view?usp=sharing|https://drive.google.com/file/d/1j1TvERhZRNAS8fBryYkA1pHJJghw6io-/view?usp=sharing,https://youtu.be/itgwkUAHwY4|https://youtu.be/wpxJhLyY-og|https://youtu.be/aGN4fRDfdoI
EV-2026-02-21-01,Juan Cirerol en el Anexo,Juan Cirerol|Octopoulpe,punk_hardcore|regional_mexicano|norteño_banda|festival_mixto,21/02/26,21:00,31.74289605,-106.4839858,Anexo Centenario,C. Ignacio Mejía Centro 32000 Juárez Chih.,,caro|alternativo|memoria|frontera|seguro|tolerancia_volumen|tolerancia_alcohol|tolerancia_expresion|cuerpo_calor|cuerpo_hacinamiento,,https://drive.google.com/file/d/1gi8aW-Qx_aUqKb2H5vciI7UPMElN7k_7/view?usp=sharing|https://drive.google.com/file/d/1qO3kqvogFdNBgeHzhFi1qhsDmjT8F0s8/view?usp=sharing,https://youtu.be/N1wpnWhg8U0|https://youtu.be/Dg6aw8iiK7s
EV-2026-02-19-01,"Matute ",Matute,covers_tributo|pop|rock,19/02/26,19:00,31.7408187,-106.4556919,Gimnasio Universitario de la UACJ,"C. Ignacio Mejía s/n, Margaritas, 32315 Ju�rez, Chih.",,caro|mainstream|familiar|seguro|tolerancia_volumen|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-18-at-5.32.10-PM.jpeg,https://www.tiktok.com/@wachatetv/video/7609192880485190919?is_from_webapp=1&sender_device=pc
EV-2026-02-12-01,Nicho Hinojosa,Nicho hinojosa,pop|trova_cantautor|covers_tributo,12/02/26,20:00,31.73535137,-106.4646675,Auditorio Benito Juárez,"Auditorio Cívico Municipal Benito Juárez, Ignacio Ramírez s/n, Partido Romero, 32030 Juárez, Chih.",,caro|mainstream|familiar|tranquilo|seguro|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2026/02/HINOJRZ300x300.jpg,
EV-2026-02-12-02,Sad Valentine - tributo a Pxndx,BXNDX,punk_hardcore|covers_tributo|local_emergente,12/02/26,21:00,31.72212847,-106.4191046,Barra Negra,"Enramada 7339, Tecnológico, 32500 Juárez, Chih.",,barato|alternativo|seguro|tolerancia_volumen|tolerancia_expresion|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-01-21-at-2.15.53-PM.jpeg,
EV-2026-02-13,Tributo a Elefante,Grupo Ángel,pop|covers_tributo|local_emergente,13/02/26,21:00,31.7325522,-106.423439,Silver Fox Fuel,"Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih.",,barato|mainstream|seguro|tolerancia_alcohol|tolerancia_expresion|cuerpo_accsebilidad,,https://wachate.mx/wp-content/uploads/2026/02/615218288_1360794166085900_7192315490283259509_n.jpg,
EV-2026-02-14-01,Titanic Sinfónico,Orquesta sinfónica,classical_contemporary,14/02/26,18:30,31.73535137,-106.4646675,Auditorio Benito Juárez,"Auditorio Cívico Municipal Benito Juárez, Ignacio Ramírez s/n, Partido Romero, 32030 Juárez, Chih.",,familiar|tranquilo|seguro|cuerpo_accesibilidad,,https://wachate.mx/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-18-at-1.20.08-PM-6-1024x768.jpeg,
EV-2026-02-14-02,Gran Baile de Enamorados,Sonora Santanera de Carlos Colorado con Mar�a Fernanda|Los Frontera|Los Putifos|Los Silver,cumbia_tropical,14/02/26,20:00,31.72644705,-106.4713553,Moroccos,"Av Reforma 1805, El Barreal, 32040 Juárez, Chih.",,,,https://wachate.mx/wp-content/uploads/2025/12/Screenshot-2025-12-19-at-5.52.49-p.m.png,
EV-2026-02-14-03,La internacional Sonora Everest,"La internacional Sonora Everest, Skandalosa Sonora, Incomparable Sonora",cumbia_tropical,14/02/26,20:00,31.68181836,-106.4081865,Evolution Discoteque,"Av. P. de la Victoria 4545, Partido Iglesias, 32528 Juárez, Chih.",,barato|de_barrio|multitud|tolerancia_baile|tolerancia_alcohol|tolerancia_expresion|cuerpo_calor,,https://wachate.mx/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-09-at-1.45.33-PM-7-1024x768.jpeg,
EV-2026-02-14-04,Tributo a los Ángeles Azules,Alejandra Mango,cumbia_tropical|covers_tributo,14/02/26,20:00,31.7325522,-106.423439,Silver Fox Fuel,"Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih.",,barato|mainstream|seguro|tolerancia_alcohol|tolerancia_expresion|cuerpo_accsebilidad,,https://wachate.mx/wp-content/uploads/2026/02/WhatsApp-Image-2026-02-06-at-6.37.24-PM.jpeg,
EV-2026-02-14-05,La Barranca en el Anexo,La Barranca,rock|alternativa,14/02/25,20:30,31.74289605,-106.4839858,Anexo Centenario,C. Ignacio Mejía Centro 32000 Juárez Chih.,,alternativo|multitud|seguro|tolerancia_volumen|tolerancia_alcohol|caro|memoria|tolerancia_expresion|cuerpo_calor|cuerpo_hacinamiento,,"https://wachate.mx/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-09-at-1.22.28-PM-1024x768.jpeg ",
